name,description,price,category,is_available,is_today_menu
Adobo Rice Bowl,Chicken adobo over garlic rice,129.00,Meals,true,false
Pork Sisig Rice,Sizzling chopped pork with rice,149.00,Meals,true,false
Beef Tapa Silog,Cured beef egg garlic rice,159.00,Meals,true,false
Chicken Inasal Plate,Grilled chicken with java rice,149.00,Meals,true,false
Fried Chicken w/ Rice,Crispy chicken quarter,139.00,Meals,true,false
Kare-Kare Bowl,Peanut stew with veggies and bagoong,169.00,Meals,true,false
Bicol Express Rice,Spicy pork coconut stew,149.00,Meals,true,false
Pancit Canton Solo,Stir-fried noodles,119.00,Meals,true,false
Palabok Solo,Rice noodles with savory sauce,129.00,Meals,true,false
Lumpiang Shanghai (8 pcs),Pork spring rolls,99.00,Meals,true,false
French Fries (Regular),Salted fries,69.00,Snacks / Sides,true,false
French Fries (Large),Salted fries,99.00,Snacks / Sides,true,false
Nachos w/ Cheese,Crunchy nachos with dip,109.00,Snacks / Sides,true,false
Siomai (6 pcs),Steamed pork dumplings,89.00,Snacks / Sides,true,false
Fish Balls (12 pcs),Street-style fish balls,79.00,Snacks / Sides,true,false
Kwek-Kwek (8 pcs),Orange batter quail eggs,79.00,Snacks / Sides,true,false
Garlic Rice,Extra serving,35.00,Snacks / Sides,true,false
Steamed Rice,Extra serving,25.00,Snacks / Sides,true,false
Iced Tea (Regular),House blend,45.00,Drinks,true,false
Iced Tea (Large),House blend,65.00,Drinks,true,false
Calamansi Juice,Fresh and sweet,55.00,Drinks,true,false
Lemonade,Classic lemon drink,55.00,Drinks,true,false
Softdrinks in Can,Coke/Sprite/Royal,55.00,Drinks,true,false
Bottled Water,Purified water,25.00,Drinks,true,false
Hot Coffee,Brewed local coffee,49.00,Drinks,true,false
Iced Coffee,Sweet milk coffee,79.00,Drinks,true,false
Leche Flan,Classic caramel custard,69.00,Desserts,true,false
Halo-Halo (Regular),Mixed dessert with milk,99.00,Desserts,true,false
Halo-Halo (Special),With ice cream and toppings,129.00,Desserts,true,false
Turon (2 pcs),Banana spring rolls,59.00,Desserts,true,false
Ube Cheese Pandesal (3 pcs),Soft bread with filling,79.00,Desserts,true,false
